Per Transaction Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period: ,2020-05-01 to 2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native Retail Currency: ,RUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native Partner Currency: ,RUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Transaction Date,Name of Title,Season Title,Show Title,Channel Name,Video Category,YouTube Video ID,Play Asset ID,EIDR Title ID,EIDR Edit ID,Partner Reporting ID,Transaction Import Source,Transaction Type,Resolution,Refund/Chargeback,Coupon Used,Campaign ID,Purchase Location,Retail Price (USD),Native Retail Price (RUB),Tax Exclusive Retail Price (USD),Native Tax Exclusive Retail Price (RUB),Total Tax (USD),Native Total Tax,Partner Earnings Fraction,Contractual Minimum Partner Earnings (USD),Native Contractual Minimum Partner Earnings (RUB),Partner Earnings Using Tax Exclusive Retail Price (USD),Native Partner Earnings Using Tax Exclusive Retail Price (RUB),Partner Funded Discounts (USD),Native Partner Funded Discounts (RUB),Final Partner Earnings (USD),Native Final Partner Earnings (RUB),Conversion Rate
RU,2020-05-22,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.59,329.00,3.83,274.17,0.76,54.83,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013951
"RU,2020-05-22,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.15,369.00,4.29,307.50,0.86,61.50,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013951"
"RU,2020-05-27,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.20,369.00,4.33,307.50,0.87,61.50,0.00,3.53,250.00,3.53,250.00,0.00,0.00,3.53,250.00,0.014085"
RU,2020-05-27,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.64,329.00,3.87,274.17,0.77,54.83,0.00,3.53,250.00,3.53,250.00,0.00,0.00,3.53,250.00,0.014085
RU,2020-05-14,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.65,269.00,3.04,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013543
"RU,2020-05-07,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.00,369.00,4.17,307.50,0.83,61.50,0.00,3.39,250.00,3.39,250.00,0.00,0.00,3.39,250.00,0.013529"
"RU,2020-05-07,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.00,369.00,4.17,307.50,0.83,61.50,0.00,3.39,250.00,3.39,250.00,0.00,0.00,3.39,250.00,0.013529"
RU,2020-05-07,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
"RU,2020-05-07,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.00,369.00,4.17,307.50,0.83,61.50,0.00,3.39,250.00,3.39,250.00,0.00,0.00,3.39,250.00,0.013529"
RU,2020-05-07,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
RU,2020-05-07,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
RU,2020-05-07,Подарок с характером,,,,Movie,jonxVBnQMKU,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
"RU,2020-05-07,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.00,369.00,4.17,307.50,0.83,61.50,0.00,3.39,250.00,3.39,250.00,0.00,0.00,3.39,250.00,0.013529"
RU,2020-05-07,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
RU,2020-05-07,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
RU,2020-05-07,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.64,269.00,3.03,224.17,0.61,44.83,0.00,2.37,175.00,2.37,175.00,0.00,0.00,2.37,175.00,0.013529
RU,2020-05-31,Подарок с характером,,,,Movie,,ze-8i7NVUL8.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.83,269.00,3.19,224.17,0.64,44.83,0.00,2.49,175.00,2.49,175.00,0.00,0.00,2.49,175.00,0.014206
"RU,2020-05-31,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,5.25,369.00,4.38,307.50,0.87,61.50,0.00,3.56,250.00,3.56,250.00,0.00,0.00,3.56,250.00,0.014206"
RU,2020-05-25,Девушка в лабиринте,,,,Movie,,opfrfskv-lM.P,NULL,NULL,,,EST,HD,False,False,,Google Play,4.60,329.00,3.83,274.17,0.77,54.83,0.00,3.50,250.00,3.50,250.00,0.00,0.00,3.50,250.00,0.013962
RU,2020-05-25,Внутренний огонь,,,,Movie,,kyE_hnt4NxQ.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.76,269.00,3.13,224.17,0.63,44.83,0.00,2.45,175.00,2.45,175.00,0.00,0.00,2.45,175.00,0.013962
RU,2020-05-25,Война токов,,,,Movie,,Nm_XajeRDn4.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.76,269.00,3.13,224.17,0.63,44.83,0.00,2.45,175.00,2.45,175.00,0.00,0.00,2.45,175.00,0.013962
"RU,2020-05-22,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.15,369.00,4.29,307.50,0.86,61.50,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013951"
RU,2020-05-22,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.59,329.00,3.83,274.17,0.76,54.83,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013951
"RU,2020-05-22,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.15,369.00,4.29,307.50,0.86,61.50,0.00,3.49,250.00,3.49,250.00,0.00,0.00,3.49,250.00,0.013951"
"RU,2020-05-09,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,5.02,369.00,4.18,307.50,0.84,61.50,0.00,3.40,250.00,3.40,250.00,0.00,0.00,3.40,250.00,0.013597"
RU,2020-05-09,Война токов,,,,Movie,,Nm_XajeRDn4.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.66,269.00,3.05,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013597
"RU,2020-05-10,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.02,369.00,4.18,307.50,0.84,61.50,0.00,3.40,250.00,3.40,250.00,0.00,0.00,3.40,250.00,0.013597"
RU,2020-05-10,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.48,329.00,3.73,274.17,0.75,54.83,0.00,3.40,250.00,3.40,250.00,0.00,0.00,3.40,250.00,0.013597
RU,2020-05-10,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.48,329.00,3.73,274.17,0.75,54.83,0.00,3.40,250.00,3.40,250.00,0.00,0.00,3.40,250.00,0.013597
RU,2020-05-10,Война токов,,,,Movie,_vAt_QwjKfE,,NULL,NULL,,,EST,HD,False,False,,YouTube,3.66,269.00,3.05,224.17,0.61,44.83,0.00,2.38,175.00,2.38,175.00,0.00,0.00,2.38,175.00,0.013597
"RU,2020-05-10,""Отель """"Белград"""""",,,,Movie,AcNQN9b9_2Y,,NULL,NULL,,,EST,HD,False,False,,YouTube,5.02,369.00,4.18,307.50,0.84,61.50,0.00,3.40,250.00,3.40,250.00,0.00,0.00,3.40,250.00,0.013597"
RU,2020-05-10,Текст,,,,Movie,7SdigstCzcA,,NULL,NULL,,,EST,HD,False,False,,YouTube,4.48,329.00,3.73,274.17,0.75,54.83,0.00,3.40,250.00,3.40,250.00,0.00,0.00,3.40,250.00,0.013597
"RU,2020-05-29,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,5.24,369.00,4.37,307.50,0.87,61.50,0.00,3.55,250.00,3.55,250.00,0.00,0.00,3.55,250.00,0.014196"
RU,2020-05-29,Внутренний огонь,,,,Movie,,kyE_hnt4NxQ.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.82,269.00,3.18,224.17,0.64,44.83,0.00,2.49,175.00,2.49,175.00,0.00,0.00,2.49,175.00,0.014196
RU,2020-05-29,Война токов,,,,Movie,,Nm_XajeRDn4.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.82,269.00,3.18,224.17,0.64,44.83,0.00,2.49,175.00,2.49,175.00,0.00,0.00,2.49,175.00,0.014196
RU,2020-05-29,Текст,,,,Movie,,BKbN_ok0LtA.P,NULL,NULL,,,EST,HD,False,False,,Google Play,4.68,329.00,3.90,274.17,0.78,54.83,0.00,3.55,250.00,3.55,250.00,0.00,0.00,3.55,250.00,0.014196
RU,2020-05-29,Внутренний огонь,,,,Movie,,kyE_hnt4NxQ.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.82,269.00,3.18,224.17,0.64,44.83,0.00,2.49,175.00,2.49,175.00,0.00,0.00,2.49,175.00,0.014196
RU,2020-05-29,Война токов,,,,Movie,,Nm_XajeRDn4.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.82,269.00,3.18,224.17,0.64,44.83,0.00,2.49,175.00,2.49,175.00,0.00,0.00,2.49,175.00,0.014196
RU,2020-05-29,Подарок с характером,,,,Movie,,ze-8i7NVUL8.P,NULL,NULL,,,EST,HD,False,False,,Google Play,3.82,269.00,3.18,224.17,0.64,44.83,0.00,2.49,175.00,2.49,175.00,0.00,0.00,2.49,175.00,0.014196
"RU,2020-05-29,""Отель """"Белград"""""",,,,Movie,,vvKfCzF7BVY.P,NULL,NULL,,,EST,HD,False,False,,Google Play,5.24,369.00,4.37,307.50,0.87,61.50,0.00,3.55,250.00,3.55,250.00,0.00,0.00,3.55,250.00,0.014196"
